,Rank,school_name,Earnings per Dollar (Cost)
1445,178,Wichita Area Technical College,2.51
1407,179,CUNY Lehman College,2.51
1863,180,Fashion Institute of Technology,2.51
108,181,Chipola College,2.5
928,182,Owens Community College,2.5
926,183,Ohio University-Zanesville Campus,2.49
266,184,Moraine Valley Community College,2.49
829,185,Glendale Community College,2.49
704,186,Ranger College,2.49
465,187,Cloud County Community College,2.49
1486,188,Hinds Community College,2.48
168,189,Lake-Sumter State College,2.48
1601,190,Rock Valley College,2.48
1852,191,University of New Mexico-Valencia County Campus,2.47
2233,192,South Seattle College,2.47
2015,193,Crowder College,2.47
2099,194,Cedar Valley College,2.47
234,195,Montgomery College,2.46
1791,196,Fort Scott Community College,2.46
2142,197,Mid-Plains Community College,2.46
507,198,Bucks County Community College,2.46
142,199,Asnuntuck Community College,2.46
347,200,Northeast Community College,2.45
2194,201,Laramie County Community College,2.45
129,202,Arapahoe Community College,2.45
2231,203,Renton Technical College,2.44
1100,204,Lord Fairfax Community College,2.44
420,205,Camden County College,2.44
201,206,George C Wallace State Community College-Hanceville,2.44
1830,207,Copiah-Lincoln Community College,2.43
196,208,Illinois Central College,2.43
726,209,Coastal Bend College,2.43
617,210,Tacoma Community College,2.43
1913,211,Minot State University,2.43
2146,212,San Jacinto Community College,2.43
1417,213,Columbia-Greene Community College,2.43
1806,214,Kalamazoo Valley Community College,2.42
1356,215,St Clair County Community College,2.42
462,216,North Iowa Area Community College,2.42
1523,217,California State University-Dominguez Hills,2.42
850,218,Oxnard College,2.42
160,219,College of Southern Idaho,2.42
1978,220,Montgomery County Community College,2.41
443,221,Adirondack Community College,2.41
1149,222,Northwest College,2.41
1822,223,Colegio Universitario de San Juan,2.41
1530,224,Northwest-Shoals Community College,2.41
2252,225,Victoria College,2.41
29,226,New River Community and Technical College,2.4
1229,227,Gwinnett Technical College,2.4
888,228,Naugatuck Valley Community College,2.4
398,229,North Central State College,2.4
1907,230,Lakeland Community College,2.4
1627,231,Hutchinson Community College,2.4
1432,232,Sauk Valley Community College,2.4
639,233,Shoreline Community College,2.4
1482,234,Central Community College,2.39
2022,235,State Fair Community College,2.39
1113,236,Germanna Community College,2.39
245,237,Western Iowa Tech Community College,2.39
730,238,Del Mar College,2.39
431,239,Dutchess Community College,2.38
1805,240,Henry Ford College,2.38
1713,241,City Colleges of Chicago-Richard J Daley College,2.38
241,242,Wichita State University,2.37
500,243,Northwestern Oklahoma State University,2.37
18,244,Central Georgia Technical College,2.37
407,245,Tulsa Community College,2.37
127,246,MiraCosta College,2.37
430,247,CUNY Queens College,2.37
1095,248,New River Community College,2.37
159,249,Black Hawk College,2.37
1104,250,Piedmont Virginia Community College,2.37
259,251,Oakland Community College,2.37
359,252,Pitt Community College,2.36
1221,253,Lincoln Land Community College,2.36
604,254,Texas Woman's University,2.36
115,255,Tunxis Community College,2.36
1070,256,Utah Valley University,2.36
