,Rank,school_name,Earnings per Dollar (Cost)
1735,750,Ashland Community and Technical College,1.87
712,751,Southeastern Technical College,1.87
2021,752,Montana State University-Billings,1.87
763,753,Arizona State University-Skysong,1.87
2255,754,Southern Union State Community College,1.87
755,755,University of South Florida-St Petersburg,1.87
1698,756,University of Hawaii at Manoa,1.87
1384,757,Clovis Community College,1.87
1962,758,Mt Hood Community College,1.86
1145,759,University of Wisconsin-Parkside,1.86
607,760,University of Houston,1.86
11,761,Middle Georgia State University,1.86
2197,762,Guam Community College,1.86
964,763,Rockingham Community College,1.86
1571,764,Alabama Southern Community College,1.86
164,765,Polk State College,1.86
1666,766,Capital Community College,1.86
1648,767,Sierra College,1.86
1241,768,Atlanta Technical College,1.86
1181,769,Purdue University-Main Campus,1.86
264,770,Kirtland Community College,1.86
231,771,University of Massachusetts-Boston,1.86
2018,772,Columbia College,1.85
1559,773,Gavilan College,1.85
1518,774,California State University-Sacramento,1.85
97,775,Riverside City College,1.85
1860,776,CUNY LaGuardia Community College,1.85
35,777,West Coast University-Los Angeles,1.85
225,778,University of Iowa,1.85
220,779,Indiana University-East,1.85
315,780,Wayne County Community College District,1.85
902,781,San Jose State University,1.85
52,782,California State University-Stanislaus,1.85
1591,783,Indiana University-Southeast,1.85
334,784,Dakota County Technical College,1.85
1494,785,Stony Brook University,1.85
935,786,University of Mary,1.85
1745,787,Springfield Technical Community College,1.85
1081,788,The University of Texas at Dallas,1.85
1836,789,CUNY Kingsborough Community College,1.84
2249,790,Texas State University,1.84
121,791,College of the Redwoods,1.84
1047,792,Black Hills State University,1.84
2120,793,West Coast University-Ontario,1.84
100,794,Colorado Mountain College,1.84
426,795,Passaic County Community College,1.84
2204,796,Ogeechee Technical College,1.84
135,797,Community College of Denver,1.84
1680,798,Southern Connecticut State University,1.84
606,799,The University of Texas at San Antonio,1.84
2214,800,Patrick Henry Community College,1.84
1465,801,Flathead Valley Community College,1.84
1909,802,James A Rhodes State College,1.84
815,803,Diablo Valley College,1.84
1467,804,Montana State University-Northern,1.83
2002,805,University of South Dakota,1.83
1926,806,Fayetteville State University,1.83
2215,807,Virginia Polytechnic Institute and State University,1.83
1529,808,University of North Alabama,1.83
1605,809,Eastern Iowa Community College District,1.83
566,810,Dakota State University,1.83
847,811,Mt San Jacinto Community College District,1.83
839,812,Los Angeles City College,1.83
1400,813,CUNY Borough of Manhattan Community College,1.83
1896,814,SUNY Empire State College,1.83
1677,815,Pickens Technical College,1.82
1754,816,Berkshire Community College,1.82
1569,817,Black River Technical College,1.82
544,818,Isothermal Community College,1.82
49,819,California State University-San Bernardino,1.82
744,820,Sussex County Community College,1.82
1304,821,Towson University,1.82
2032,822,Missouri Western State University,1.82
754,823,Georgia Gwinnett College,1.82
137,824,Central Connecticut State University,1.82
1701,825,Lewis-Clark State College,1.82
846,826,Los Angeles Valley College,1.82
1080,827,Navarro College,1.82
1048,828,Spartanburg Community College,1.82
1971,829,Greenville Technical College,1.82
2090,830,Northern State University,1.82
1358,831,Mississippi Gulf Coast Community College,1.82
1388,832,Cumberland County College,1.82
773,833,West Hills College-Lemoore,1.81
1678,834,Ohlone College,1.81
301,835,Normandale Community College,1.81
602,836,Texas A & M University-Kingsville,1.81
741,837,Arizona State University-West,1.81
1303,838,Lake Michigan College,1.81
2213,839,Danville Community College,1.81
1274,840,Northwestern State University of Louisiana,1.81
152,841,Abraham Baldwin Agricultural College,1.81
1671,842,Los Angeles Mission College,1.81
1024,843,Northeast State Community College,1.81
200,844,Auburn University at Montgomery,1.81
1332,845,Northwestern Michigan College,1.81
141,846,Norwalk Community College,1.81
794,847,Bishop State Community College,1.8
576,848,Roane State Community College,1.8
2001,849,Chattanooga State Community College,1.8
358,850,University of North Carolina Wilmington,1.8
1284,851,University of Baltimore,1.8
130,852,Santa Monica College,1.8
774,853,Baton Rouge Community College,1.8
1263,854,Kansas State University,1.8
1164,855,Centralia College,1.8
206,856,University of South Alabama,1.8
1193,857,University of North Florida,1.79
148,858,University of South Florida-Main Campus,1.79
1537,859,Yavapai College,1.79
81,860,Fresno City College,1.79
1717,861,University of Hawaii at Hilo,1.79
1651,862,West Los Angeles College,1.79
124,863,Saddleback College,1.79
896,864,Florida Atlantic University,1.79
2033,865,Park University,1.79
2141,866,EDIC College,1.79
2247,867,The University of Texas at Arlington,1.79
48,868,American River College,1.79
2005,869,Minnesota State University Moorhead,1.79
2150,870,Texas Southmost College,1.79
1490,871,Northwest Missouri State University,1.78
1801,872,Somerset Community College,1.78
2168,873,University of Wisconsin-Madison,1.78
54,874,Cabrillo College,1.78
1458,875,Bemidji State University,1.78
1684,876,University of Georgia,1.78
680,877,Sul Ross State University,1.78
96,878,San Diego State University,1.78
351,879,Great Falls College Montana State University,1.78
2019,880,Saint Louis Community College,1.78
922,881,Northwest State Community College,1.78
291,882,Westfield State University,1.78
524,883,Umpqua Community College,1.77
894,884,University of Central Florida,1.77
166,885,Northwest Florida State College,1.77
1305,886,University of Maryland-Baltimore County,1.77
1103,887,Radford University,1.77
1282,888,Baltimore City Community College,1.77
675,889,Virginia Military Institute,1.77
46,890,University of Arkansas,1.77
1160,891,Peninsula College,1.77
1990,892,Florence-Darlington Technical College,1.77
1660,893,Mission College,1.77
1393,894,The University of Montana-Western,1.77
1342,895,Chesapeake College,1.77
1317,896,Bay de Noc Community College,1.77
899,897,Florida SouthWestern State College,1.77
1829,898,Winona State University,1.76
1689,899,Clayton  State University,1.76
1457,900,Lake Superior College,1.76
1464,901,Montana State University,1.76
1515,902,York County Community College,1.76
1526,903,Troy University,1.76
2172,904,University of Wisconsin-Superior,1.76
162,905,Pensacola State College,1.76
647,906,West Virginia State University,1.76
557,907,Davidson County Community College,1.76
325,908,Granite State College,1.76
157,909,Southwestern Illinois College,1.76
905,910,San Diego City College,1.76
180,911,Gordon State College,1.76
261,912,Oakland University,1.76
1816,913,Saginaw Valley State University,1.75
1779,914,Fletcher Technical Community College,1.75
742,915,Coconino Community College,1.75
244,916,Murray State University,1.75
355,917,University of North Carolina at Greensboro,1.75
1738,918,University of Massachusetts-Lowell,1.75
1795,919,Salisbury University,1.75
631,920,Columbia Central University-Caguas,1.75
58,921,University of Alabama in Huntsville,1.75
1281,922,Southern Maine Community College,1.75
1658,923,Los Angeles Harbor College,1.75
418,924,Kean University,1.74
1030,925,Texas A & M University-Commerce,1.74
1307,926,Bridgewater State University,1.74
735,927,California State University-San Marcos,1.74
1119,928,University of Washington-Seattle Campus,1.74
1462,929,Anoka Technical College,1.74
658,930,Atlantic University College,1.74
4,931,West Coast University-Orange County,1.74
1586,932,Indiana University-Purdue University-Indianapolis,1.74
1495,933,SUNY at Albany,1.74
1456,934,Hopkinsville Community College,1.74
136,935,Colorado State University-Pueblo,1.74
172,936,City Colleges of Chicago-Malcolm X College,1.73
1652,937,Berkeley City College,1.73
306,938,Mississippi University for Women,1.73
1776,939,Bossier Parish Community College,1.73
740,940,Arizona State University-Polytechnic,1.73
1893,941,Appalachian State University,1.73
947,942,Craven Community College,1.73
613,943,Community College of Vermont,1.73
881,944,Western Connecticut State University,1.73
2096,945,The University of Tennessee-Martin,1.73
1959,946,Oklahoma State University-Main Campus,1.73
433,947,CUNY Hostos Community College,1.73
970,948,Cameron University,1.73
1732,949,University of Kansas,1.73
914,950,Hocking College,1.73
560,951,Brunswick Community College,1.73
2086,952,Pellissippi State Community College,1.72
1540,953,Arkansas Tech University,1.72
274,954,Coppin State University,1.72
236,955,Anne Arundel Community College,1.72
933,956,University of North Carolina at Chapel Hill,1.72
1802,957,Big Sandy Community and Technical College,1.71
558,958,Carteret Community College,1.71
838,959,Los Angeles Pierce College,1.71
1966,960,Eastern Oregon University,1.71
719,961,Orangeburg Calhoun Technical College,1.71
2006,962,Hennepin Technical College,1.71
1370,963,Hudson County Community College,1.71
2084,964,Middle Tennessee State University,1.71
1419,965,New Mexico Highlands University,1.71
1118,966,Marshall University,1.71
599,967,The University of Texas at Austin,1.71
1942,968,Surry Community College,1.71
76,969,College of the Desert,1.71
2257,970,Copper Mountain Community College,1.71
1000,971,Reading Area Community College,1.71
966,972,University of Oklahoma-Norman Campus,1.71
1861,973,Herkimer County Community College,1.71
851,974,Santa Barbara City College,1.7
751,975,Pennsylvania College of Health Sciences,1.7
863,976,Taft College,1.7
861,977,West Valley College,1.7
1961,978,Central Oregon Community College,1.7
941,979,SUNY College at Geneseo,1.7
697,980,Vermont Technical College,1.7
1857,981,Nashua Community College,1.7
971,982,Rogers State University,1.7
91,983,Antelope Valley College,1.7
56,984,University of Alabama at Birmingham,1.7
1158,985,Bluefield State College,1.69
2199,986,Northern Marianas College,1.69
522,987,Treasure Valley Community College,1.69
1976,988,York Technical College,1.69
105,989,College of Central Florida,1.69
2244,990,Fairmont State University,1.69
2010,991,University of Central Missouri,1.69
1516,992,Arkansas State University-Mountain Home,1.69
870,993,Pikes Peak Community College,1.69
1246,994,Vincennes University,1.69
873,995,University of Connecticut,1.69
416,996,Santa Fe Community College,1.69
1366,997,University of Nebraska-Lincoln,1.69
1039,998,Horry-Georgetown Technical College,1.69
1914,999,Winston-Salem State University,1.68
249,1000,Hazard Community and Technical College,1.68
1483,1001,University of Nebraska at Kearney,1.68
1299,1002,Ferris State University,1.68
1912,1003,Western Carolina University,1.68
1875,1004,Jamestown Community College,1.68
1330,1005,Michigan State University,1.68
1821,1006,Southwestern Michigan College,1.68
354,1007,North Carolina A & T State University,1.68
1369,1008,New Jersey City University,1.68
1064,1009,Oglala Lakota College,1.68
1192,1010,Florida State University,1.68
551,1011,Richmond Community College,1.68
871,1012,University of Northern Colorado,1.68
381,1013,SUNY Buffalo State,1.68
1040,1014,Piedmont Technical College,1.68
843,1015,Yuba College,1.68
1557,1016,El Camino College-Compton Center,1.67
506,1017,Lane Community College,1.67
1573,1018,Arizona State University-Tempe,1.67
747,1019,California State University-Monterey Bay,1.67
1390,1020,Great Bay Community College,1.67
75,1021,Cosumnes River College,1.67
1098,1022,University of Mary Washington,1.66
313,1023,Three Rivers Community College,1.66
2011,1024,Lincoln University,1.66
603,1025,Prairie View A & M University,1.66
328,1026,Truman State University,1.66
400,1027,Zane State College,1.66
963,1028,Robeson Community College,1.66
352,1029,East Carolina University,1.66
536,1030,Trocaire College,1.66
1747,1031,Salem State University,1.66
1825,1032,North Hennepin Community College,1.66
212,1033,Lurleen B Wallace Community College,1.66
1628,1034,Orange Coast College,1.66
1187,1035,Idaho State University,1.66
2162,1036,Eastern Washington University,1.66
1255,1037,University of Southern Indiana,1.66
2029,1038,University of Missouri-Columbia,1.66
2020,1039,Southeast Missouri State University,1.66
2224,1040,Texarkana College,1.66
1796,1041,Wor-Wic Community College,1.66
179,1042,Columbus State University,1.66
275,1043,Allegany College of Maryland,1.66
1293,1044,Southern University at Shreveport,1.66
1324,1045,Framingham State University,1.66
1915,1046,University of North Carolina at Pembroke,1.65
1588,1047,Indiana University-Bloomington,1.65
385,1048,SUNY College at Brockport,1.65
978,1049,Portland State University,1.65
1487,1050,University of Minnesota-Twin Cities,1.65
1862,1051,CUNY Medgar Evers College,1.65
1374,1052,University of Nevada-Reno,1.65
151,1053,The University of West Florida,1.65
2008,1054,University of Minnesota-Crookston,1.65
474,1055,Maysville Community and Technical College,1.65
2251,1056,Wayland Baptist University,1.65
2196,1057,University of Guam,1.64
1941,1058,Vance-Granville Community College,1.64
270,1059,Spoon River College,1.64
340,1060,Southwest Minnesota State University,1.64
1073,1061,Southern Utah University,1.64
866,1062,Los Angeles Trade Technical College,1.64
1408,1063,Finger Lakes Community College,1.64
273,1064,Bowie State University,1.64
1589,1065,Southern Illinois University-Edwardsville,1.64
1301,1066,Madonna University,1.64
796,1067,Shelton State Community College,1.64
1696,1068,Columbus Technical College,1.64
1327,1069,Greenfield Community College,1.64
1769,1070,Western Kentucky University,1.64
209,1071,Bevill State Community College,1.64
615,1072,University of Wisconsin-Milwaukee,1.64
1102,1073,Old Dominion University,1.64
1840,1074,CUNY Bronx Community College,1.64
1841,1075,Onondaga Community College,1.64
1201,1076,University of West Georgia,1.63
1804,1077,Eastern Michigan University,1.63
77,1078,Evergreen Valley College,1.63
495,1079,University of Maine at Augusta,1.63
1359,1080,Rochester Community and Technical College,1.63
1663,1081,Pueblo Community College,1.63
128,1082,Modesto Junior College,1.63
2163,1083,Central Washington University,1.63
147,1084,State College of Florida-Manatee-Sarasota,1.63
1730,1085,University of Kentucky,1.63
1585,1086,Purdue University-Calumet Campus,1.63
994,1087,Langston University,1.63
2234,1088,College of William and Mary,1.63
987,1089,East Stroudsburg University of Pennsylvania,1.63
549,1090,Wilson Community College,1.62
1395,1091,University of New Mexico-Main Campus,1.62
691,1092,Southside Virginia Community College,1.62
331,1093,Ranken Technical College,1.62
308,1094,Missouri State University-Springfield,1.62
805,1095,University of Central Arkansas,1.62
962,1096,Southwestern Community College,1.62
178,1097,Armstrong State University,1.61
1770,1098,Frostburg State University,1.61
531,1099,University of Pittsburgh-Greensburg,1.61
1199,1100,Boise State University,1.61
1260,1101,Indiana University-South Bend,1.61
2111,1102,Jackson State Community College,1.61
591,1103,Shippensburg University of Pennsylvania,1.61
447,1104,The College of New Jersey,1.61
399,1105,University of Northwestern Ohio,1.61
1563,1106,Chaffey College,1.6
505,1107,Bloomsburg University of Pennsylvania,1.6
1932,1108,University of North Carolina at Asheville,1.6
2129,1109,Arizona State University-Downtown Phoenix,1.6
1135,1110,The University of Virginia's College at Wise,1.6
1286,1111,Southeast Kentucky Community and Technical College,1.6
584,1112,Dyersburg State Community College,1.6
337,1113,Delta State University,1.6
1687,1114,Georgia Southwestern State University,1.6
1603,1115,University of Illinois at Springfield,1.6
1640,1116,Colorado Mesa University,1.6
1729,1117,Eastern Kentucky University,1.6
1357,1118,University of Mississippi,1.59
316,1119,University of Minnesota-Duluth,1.59
999,1120,University of Pittsburgh-Johnstown,1.59
2093,1121,Tennessee Technological University,1.59
840,1122,Colorado State University-Fort Collins,1.59
2026,1123,The University of Montana,1.59
1163,1124,Southwest Virginia Community College,1.59
723,1125,Tennessee State University,1.59
855,1126,San Bernardino Valley College,1.59
1955,1127,Youngstown State University,1.59
901,1128,San Francisco State University,1.59
85,1129,Hartnell College,1.59
1041,1130,University of South Carolina-Aiken,1.59
1765,1131,Mott Community College,1.58
1727,1132,University of Illinois at Chicago,1.58
1945,1133,Coastal Carolina Community College,1.58
356,1134,Tompkins Cortland Community College,1.58
789,1135,Auburn University,1.58
1001,1136,University of Pittsburgh-Bradford,1.58
1746,1137,University of Massachusetts-Dartmouth,1.58
710,1138,Hawaii Community College,1.58
559,1139,South Piedmont Community College,1.57
1542,1140,Southern Arkansas University Main Campus,1.57
1855,1141,NHTI-Concord's Community College,1.57
1453,1142,Saint Augustine College,1.57
1421,1143,Western New Mexico University,1.57
2094,1144,Angelo State University,1.57
570,1145,Citadel Military College of South Carolina,1.57
1567,1146,National Park College,1.57
938,1147,SUNY Cortland,1.56
1558,1148,Contra Costa College,1.56
532,1149,Asheville-Buncombe Technical Community College,1.56
1871,1150,State University of New York at New Paltz,1.56
252,1151,Grand Valley State University,1.56
869,1152,Los Medanos College,1.56
203,1153,Lawson State Community College-Birmingham Campus,1.56
1895,1154,Cape Fear Community College,1.56
1587,1155,Indiana University-Purdue University-Fort Wayne,1.56
817,1156,Columbia College,1.56
1368,1157,Montclair State University,1.56
218,1158,Indiana University-Northwest,1.56
514,1159,Oregon State University,1.55
1824,1160,Mississippi State University,1.55
523,1161,Southwestern Oregon Community College,1.55
1590,1162,Indiana State University,1.55
341,1163,Minnesota State College Southeast,1.55
300,1164,University of Southern Mississippi,1.55
831,1165,Feather River Community College District,1.55
565,1166,Central Carolina Technical College,1.55
1143,1167,Huertas College,1.55
2070,1168,Seminole State College,1.55
195,1169,University of Illinois at Urbana-Champaign,1.55
1643,1170,Community College of Aurora,1.55
765,1171,Azusa Pacific University College,1.54
2031,1172,University of Missouri-Kansas City,1.54
1077,1173,Stephen F Austin State University,1.54
2073,1174,Lock Haven University,1.54
1046,1175,University of South Carolina-Upstate,1.54
1020,1176,The University of Tennessee-Chattanooga,1.53
158,1177,University of Idaho,1.53
814,1178,East Los Angeles College,1.53
1814,1179,Wayne State University,1.53
1731,1180,University of Louisville,1.53
860,1181,West Hills College-Coalinga,1.53
1497,1182,SUNY Oneonta,1.52
2030,1183,University of Missouri-St Louis,1.52
50,1184,California State University-Chico,1.52
811,1185,California State University-Northridge,1.52
637,1186,University of the Virgin Islands,1.52
1380,1187,Eastern New Mexico University-Main Campus,1.52
1672,1188,Los Angeles Southwest College,1.52
1522,1189,University of Arkansas at Little Rock,1.51
1737,1190,University of Massachusetts-Amherst,1.51
1256,1191,Ball State University,1.51
1954,1192,University of Toledo,1.51
1560,1193,Crafton Hills College,1.51
2160,1194,Georgia Piedmont Technical College,1.51
1850,1195,Rutgers University-New Brunswick,1.51
2056,1196,Rogue Community College,1.51
253,1197,Central Michigan University,1.51
554,1198,Catawba Valley Community College,1.5
1870,1199,SUNY College of Technology at Alfred,1.5
2048,1200,Southern Oregon University,1.5
715,1201,University of South Carolina-Columbia,1.5
83,1202,Irvine Valley College,1.5
2082,1203,Pennsylvania State University-Penn State Berks,1.49
182,1204,Southern Crescent Technical College,1.49
2208,1205,Christopher Newport University,1.49
516,1206,Millersville University of Pennsylvania,1.49
957,1207,Haywood Community College,1.49
177,1208,City Colleges of Chicago-Olive-Harvey College,1.49
373,1209,Cleveland State University,1.49
375,1210,Franklin University,1.49
632,1211,Inter American University of Puerto Rico-Bayamon,1.49
1536,1212,Arizona Western College,1.49
1257,1213,Illinois State University,1.48
1182,1214,Pontifical Catholic University of Puerto Rico-Mayaguez,1.48
589,1215,Slippery Rock University of Pennsylvania,1.48
414,1216,William Paterson University of New Jersey,1.48
1664,1217,Eastern Connecticut State University,1.48
456,1218,Molloy College,1.48
1869,1219,SUNY College at Plattsburgh,1.48
186,1220,College of Coastal Georgia,1.48
1867,1221,SUNY College at Oswego,1.48
648,1222,West Liberty University,1.48
950,1223,Sandhills Community College,1.48
1947,1224,Beaufort County Community College,1.48
33,1225,Folsom Lake College,1.48
144,1226,Merritt College,1.48
1122,1227,Western Washington University,1.48
948,1228,Blue Ridge Community College,1.48
908,1229,San Jose City College,1.48
1067,1230,Lamar University,1.47
1023,1231,Austin Peay State University,1.47
1960,1232,University of Oregon,1.47
628,1233,Inter American University of Puerto Rico-Fajardo,1.47
1683,1234,Georgia Southern University,1.47
2242,1235,Washington State University,1.47
968,1236,Wright State University-Main Campus,1.47
143,1237,Mendocino College,1.47
641,1238,Concord University,1.47
852,1239,Sonoma State University,1.47
131,1240,Victor Valley College,1.47
1951,1241,Ohio State University-Main Campus,1.47
214,1242,University of Arizona,1.46
170,1243,Chicago State University,1.46
155,1244,Georgia State University,1.46
567,1245,Tri-County Technical College,1.46
1982,1246,University of Rhode Island,1.46
588,1247,West Chester University of Pennsylvania,1.46
842,1248,Adams State University,1.46
2003,1249,Minneapolis Community and Technical College,1.46
717,1250,Clemson University,1.45
720,1251,University of South Carolina-Beaufort,1.45
1809,1252,Lake Superior State University,1.45
513,1253,Pennsylvania State University-Penn State Harrisburg,1.45
835,1254,Dine College,1.44
1798,1255,Morehead State University,1.44
946,1256,College of the Albemarle,1.44
366,1257,St. Joseph's College-New York,1.44
1331,1258,Northern Michigan University,1.44
1280,1259,University of Maine,1.44
832,1260,Mohave Community College,1.44
187,1261,Augusta Technical College,1.44
1936,1262,Randolph Community College,1.44
802,1263,Northern Arizona University,1.44
1775,1264,Southern University and A & M College,1.43
1946,1265,Central Carolina Community College,1.43
1382,1266,Ramapo College of New Jersey,1.43
2210,1267,Longwood University,1.43
88,1268,University of Arkansas at Monticello,1.43
1138,1269,Inter American University of Puerto Rico-San German,1.43
1203,1270,Georgia College and State University,1.43
1022,1271,The University of Tennessee-Knoxville,1.43
82,1272,Golden West College,1.43
944,1273,Central Piedmont Community College,1.43
2083,1274,University of Memphis,1.42
199,1275,Jacksonville State University,1.42
625,1276,Inter American University of Puerto Rico-Ponce,1.42
627,1277,Inter American University of Puerto Rico-Aguadilla,1.42
1200,1278,Valdosta State University,1.42
2023,1279,Missouri State University-West Plains,1.42
1832,1280,Saint Paul College,1.42
2140,1281,California State University-Channel Islands,1.42
2106,1282,Lamar State College-Port Arthur,1.42
120,1283,San Joaquin Delta College,1.42
912,1284,University of Akron Main Campus,1.42
70,1285,University of California-Berkeley,1.41
2212,1286,Castleton University,1.41
695,1287,Lyndon State College,1.41
1520,1288,Arkansas State University-Main Campus,1.41
1674,1289,Lassen Community College,1.41
1712,1290,Eastern Illinois University,1.41
1944,1291,Mitchell Community College,1.41
1675,1292,Western State Colorado University,1.41
550,1293,Alamance Community College,1.41
1853,1294,New Mexico State University-Main Campus,1.41
87,1295,Henderson State University,1.41
2054,1296,Clarion University of Pennsylvania,1.4
207,1297,University of West Alabama,1.4
1595,1298,Northeastern Illinois University,1.4
511,1299,Pennsylvania State University-Penn State Altoona,1.4
1718,1300,Savannah State University,1.4
1328,1301,Massachusetts Institute of Technology,1.4
1279,1302,University of Southern Maine,1.4
931,1303,North Carolina Central University,1.4
1874,1304,SUNY College of Environmental Science and Forestry,1.4
1997,1305,University of the Sciences,1.39
939,1306,SUNY College of Technology at Delhi,1.39
133,1307,College of the Siskiyous,1.39
510,1308,Pennsylvania State University-Penn State Erie-Behrend College,1.39
2250,1309,Dixie State University,1.39
1498,1310,SUNY College at Potsdam,1.39
1385,1311,Rowan University,1.38
1991,1312,Francis Marion University,1.38
634,1313,Universidad del Sagrado Corazon,1.38
2044,1314,Kettering University,1.38
387,1315,SUNY at Fredonia,1.38
216,1316,Western Illinois University,1.37
1463,1317,University of Minnesota-Morris,1.37
865,1318,Laney College,1.37
992,1319,Mansfield University of Pennsylvania,1.37
1139,1320,Inter American University of Puerto Rico-Barranquitas,1.37
954,1321,Gaston College,1.37
898,1322,Florida Agricultural and Mechanical University,1.36
1642,1323,Fort Lewis College,1.36
1266,1324,Kansas City Kansas Community College,1.36
322,1325,University of New Hampshire-Main Campus,1.36
1972,1326,Coastal Carolina University,1.36
1956,1327,Stark State College,1.35
1021,1328,Temple University,1.35
205,1329,George C Wallace State Community College-Selma,1.35
562,1330,Bowling Green State University-Main Campus,1.35
592,1331,York College Pennsylvania,1.35
657,1332,Universidad Adventista de las Antillas,1.35
1572,1333,Northland Pioneer College,1.34
330,1334,Harris-Stowe State University,1.34
1037,1335,Lander University,1.34
791,1336,University of Montevallo,1.34
985,1337,California University of Pennsylvania,1.34
1188,1338,City Colleges of Chicago-Kennedy-King College,1.34
877,1339,University of the District of Columbia,1.34
624,1340,Milwaukee School of Engineering,1.34
1625,1341,Shawnee Community College,1.34
94,1342,South Arkansas Community College,1.34
2193,1343,Universidad Central de Bayamon,1.33
910,1344,University of Cincinnati-Main Campus,1.33
1555,1345,El Camino Community College District,1.33
68,1346,Charter College,1.33
1815,1347,Western Michigan University,1.33
821,1348,University of California-San Diego,1.33
1953,1349,Ohio University-Main Campus,1.33
2049,1350,Kutztown University of Pennsylvania,1.33
1524,1351,University of California-Irvine,1.33
1525,1352,University of California-Los Angeles,1.33
293,1353,Massachusetts College of Liberal Arts,1.33
409,1354,Navajo Technical University,1.32
1094,1355,Norfolk State University,1.32
12,1356,DeVry University-California,1.32
1454,1357,Southern Illinois University-Carbondale,1.32
112,1358,Delaware State University,1.32
2055,1359,Western Oregon University,1.32
2062,1360,Central Penn College,1.32
1306,1361,Morgan State University,1.32
940,1362,SUNY College of Technology at Canton,1.31
825,1363,University of Arkansas at Pine Bluff,1.31
502,1364,Oklahoma Wesleyan University,1.31
1381,1365,Stockton University,1.31
1546,1366,Barstow Community College,1.3
788,1367,The University of Alabama,1.3
707,1368,Virginia Commonwealth University,1.3
90,1369,Pulaski Technical College,1.3
517,1370,Holy Family University,1.3
929,1371,Shawnee State University,1.3
633,1372,Inter American University of Puerto Rico-Guayama,1.3
1116,1373,Virginia State University,1.29
693,1374,Johnson State College,1.29
1633,1375,Palo Verde College,1.29
1916,1376,University of Mount Olive,1.29
1788,1377,University of Maine at Farmington,1.29
1056,1378,Waynesburg University,1.29
1074,1379,University of Vermont,1.29
1693,1380,Albany State University,1.29
436,1381,D'Youville College,1.28
98,1382,University of Colorado Boulder,1.28
2085,1383,East Tennessee State University,1.28
1176,1384,Indiana University of Pennsylvania-Main Campus,1.28
716,1385,College of Charleston,1.28
2036,1386,Keene State College,1.28
223,1387,Northern Illinois University,1.28
15,1388,DeVry University-Texas,1.28
1827,1389,Jackson State University,1.27
2159,1390,Mid-America Christian University,1.27
14,1391,DeVry University-Ohio,1.27
1044,1392,National American University-Rapid City,1.27
749,1393,University of Phoenix-Hawaii,1.27
86,1394,Harding University,1.27
823,1395,Bryan University,1.27
219,1396,Indiana Wesleyan University-Marion,1.26
786,1397,Le Cordon Bleu College of Culinary Arts-Pasadena,1.26
986,1398,Edinboro University of Pennsylvania,1.26
2187,1399,Glenville State College,1.26
760,1400,DeVry College of New York,1.26
2206,1401,Pennsylvania College of Technology,1.26
1378,1402,Plymouth State University,1.25
761,1403,DeVry University-Florida,1.25
626,1404,Inter American University of Puerto Rico-Arecibo,1.25
2125,1405,DeVry University-Georgia,1.24
530,1406,University of Pittsburgh-Pittsburgh Campus,1.24
745,1407,Le Cordon Bleu College of Culinary Arts-Scottsdale,1.24
13,1408,DeVry University-Illinois,1.24
1759,1409,St Mary's College of Maryland,1.24
1148,1410,Herzing University-Madison,1.24
1846,1411,St Francis College,1.24
1578,1412,Miami Dade College,1.24
1604,1413,University of St Francis,1.23
1618,1414,National Louis University,1.23
1015,1415,Gwynedd Mercy University,1.23
778,1416,Le Cordon Bleu College of Culinary Arts-Atlanta,1.23
1309,1417,University of Maryland Eastern Shore,1.23
2180,1418,Stanford University,1.23
1397,1419,Mercy College,1.23
1623,1420,Rose-Hulman Institute of Technology,1.23
965,1421,Stanly Community College,1.23
1902,1422,Kent State University at Kent,1.23
1423,1423,Vaughn College of Aeronautics and Technology,1.23
2260,1424,Everglades University,1.22
989,1425,Pennsylvania State University-Main Campus,1.22
1925,1426,Guilford Technical Community College,1.22
59,1427,Alabama A & M University,1.22
1471,1428,William Carey University,1.22
1764,1429,Baker College,1.22
1140,1430,Pontifical Catholic University of Puerto Rico-Ponce,1.22
386,1431,SUNY College of Agriculture and Technology at Cobleskill,1.22
57,1432,Alabama State University,1.21
1333,1433,Northwood University,1.21
1892,1434,Touro College,1.21
1364,1435,Mississippi College,1.21
1329,1436,Harvard University,1.2
185,1437,Atlanta Metropolitan State College,1.2
651,1438,Alverno College,1.2
739,1439,Hodges University,1.19
1202,1440,Hawaii Pacific University,1.19
2089,1441,Bethel University,1.19
1868,1442,Morrisville State College,1.19
250,1443,Kentucky State University,1.19
1288,1444,Spalding University,1.19
819,1445,University of California-Davis,1.18
998,1446,Southern Nazarene University,1.18
99,1447,Colorado Technical University-Colorado Springs,1.18
2254,1448,ECPI University,1.18
1881,1449,Briarcliffe College,1.17
1905,1450,Miami University-Oxford,1.17
1819,1451,Siena Heights University,1.17
1749,1452,Worcester Polytechnic Institute,1.17
190,1453,Piedmont College,1.17
1236,1454,Flagler College-St Augustine,1.17
1178,1455,Lackawanna College,1.17
733,1456,Dallas Baptist University,1.17
583,1457,Winthrop University,1.16
649,1458,Cardinal Stritch University,1.16
1137,1459,Inter American University of Puerto Rico-Metro,1.16
1448,1460,MidAmerica Nazarene University,1.16
686,1461,Marymount University,1.16
956,1462,Duke University,1.16
1873,1463,SUNY at Purchase College,1.16
43,1464,Atenas College,1.16
1012,1465,Lehigh University,1.16
2189,1466,Marian University,1.15
376,1467,Central State University,1.15
28,1468,Rasmussen College-Illinois,1.15
1702,1469,Aurora University,1.15
